$6;1566152452825365905;1566152452825875348;-2610612058881768681;1;public net.sourceforge.stripes.action.ForwardResolution org.mybatis.jpetstore.web.actions.CatalogActionBean.viewCategory();org.mybatis.jpetstore.web.actions.CatalogActionBean;125655941;[org.mybatis.jpetstore.web.actions.AbstractActionBean]
$7;1566152452825368267;1566152452825881642;-2610612058881768681;2;public net.sourceforge.stripes.action.ForwardResolution org.mybatis.jpetstore.web.actions.CatalogActionBean.viewCategory();org.mybatis.jpetstore.web.actions.CatalogActionBean;125655941
$8;1566152452825556708;1566152452826021510;-2610612058881768681;3;public net.sourceforge.stripes.action.ForwardResolution org.mybatis.jpetstore.web.actions.CatalogActionBean.viewCategory();org.mybatis.jpetstore.web.actions.CatalogActionBean;125655941
$8;1566152452825557005;1566152452826024872;-2610612058881768681;4;public net.sourceforge.stripes.action.ForwardResolution org.mybatis.jpetstore.web.actions.CatalogActionBean.viewCategory();org.mybatis.jpetstore.web.actions.CatalogActionBean;125655941
$9;1566152452825870983;1566152452826343144;-2610612058881768681;0;/jpetstore/actions/Catalog.action;/jpetstore
$1;1566152458797930660;-2610612058881768680;21;9C6A76C636B5AD7B1B2B2700F2685870;ae4dc884ed7c;-2610612058881768680;-1;
$5;1566152458797945243;1566152458798388730;-2610612058881768680;0;/jpetstore/actions/Catalog.action;/jpetstore;2;viewProduct;productId;2;;FI-SW-01;1
$6;1566152458798079666;1566152458798535751;-2610612058881768680;1;public net.sourceforge.stripes.action.ForwardResolution org.mybatis.jpetstore.web.actions.CatalogActionBean.viewProduct();org.mybatis.jpetstore.web.actions.CatalogActionBean;1572494138;[org.mybatis.jpetstore.web.actions.AbstractActionBean]
$7;1566152458798088624;1566152458798553967;-2610612058881768680;2;public net.sourceforge.stripes.action.ForwardResolution org.mybatis.jpetstore.web.actions.CatalogActionBean.viewProduct();org.mybatis.jpetstore.web.actions.CatalogActionBean;1572494138
$8;1566152458798321938;1566152458798790990;-2610612058881768680;3;public net.sourceforge.stripes.action.ForwardResolution org.mybatis.jpetstore.web.actions.CatalogActionBean.viewProduct();org.mybatis.jpetstore.web.actions.CatalogActionBean;1572494138
$8;1566152458798330016;1566152458798793981;-2610612058881768680;4;public net.sourceforge.stripes.action.ForwardResolution org.mybatis.jpetstore.web.actions.CatalogActionBean.viewProduct();org.mybatis.jpetstore.web.actions.CatalogActionBean;1572494138
$2;1566152458799669149;1566152458800118651;-2610612058881768680;5;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();org.mybatis.jpetstore.web.actions.CatalogActionBean;190069444;[net.sourceforge.stripes.action.ActionBean, java.io.Serializable]
$3;1566152458799679425;1566152458800124548;-2610612058881768680;6;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();org.mybatis.jpetstore.web.actions.CatalogActionBean;190069444
$2;1566152458799685530;1566152458800125240;-2610612058881768680;7;public org.mybatis.jpetstore.web.actions.CatalogActionBean.<init>();org.mybatis.jpetstore.web.actions.CatalogActionBean;190069444;[org.mybatis.jpetstore.web.actions.AbstractActionBean]
$3;1566152458799705069;1566152458800126516;-2610612058881768680;8;public org.mybatis.jpetstore.web.actions.CatalogActionBean.<init>();org.mybatis.jpetstore.web.actions.CatalogActionBean;190069444
$9;1566152458799890978;1566152458800365688;-2610612058881768680;0;/jpetstore/actions/Catalog.action;/jpetstore
$1;1566152458921898411;-2610612058881768679;27;764A6EFC3B8D1EFA0F0D069ADA9D661D;ae4dc884ed7c;-2610612058881768679;-1;
$5;1566152458921930260;1566152458922396534;-2610612058881768679;0;/jpetstore/actions/Cart.action;/jpetstore;2;addItemToCart;workingItemId;2;;EST-1;1
$6;1566152458922024200;1566152458922545137;-2610612058881768679;1;public net.sourceforge.stripes.action.Resolution org.mybatis.jpetstore.web.actions.CartActionBean.addItemToCart();org.mybatis.jpetstore.web.actions.CartActionBean;797406005;[org.mybatis.jpetstore.web.actions.AbstractActionBean]
