;base node;test node;base edge;test edge;base group;test group;base event;test event;node jaccard index; edge jaccard index; graph-edit-distance
result-newCustomer-all-behaviors-fixed-with-delays_cluster_0;0;0;0;0;2;1;7;6;1.000000;1.000000;44.000000
result-newCustomer-all-behaviors-fixed-with-delays_cluster_1;0;0;0;0;0;1;3;5;1.000000;1.000000;13.100000
result-newCustomer-all-behaviors-fixed-with-delays_cluster_2;1;0;5;1;10;4;11;5;0.000000;0.400000;275.000000
result-newCustomer-all-behaviors-fixed-with-delays_cluster_3;3;0;7;0;12;2;16;7;0.000000;0.222222;359.200000
result-newCustomer-all-behaviors-fixed-with-delays_cluster_4;0;0;0;0;3;2;8;30;1.000000;1.000000;77.500000
result-newCustomer-all-behaviors-fixed-with-delays_cluster_5;0;0;0;0;3;2;8;30;1.000000;1.000000;77.500000
result-newCustomer-all-behaviors-fixed-with-delays_cluster_6;0;0;0;0;2;1;4;3;1.000000;1.000000;34.000000
